Kategorie,ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
Drogerie Kosmetik Nonfood,89227,CALENDULA Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,9.6647,1.4288,19
Drogerie Kosmetik Nonfood,89234,EYE CARE Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),15ml,10.7314,1.5865,19
Drogerie Kosmetik Nonfood,89260,ROSE Cleanser DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),150ml,13.7388,2.0311,19
Drogerie Kosmetik Nonfood,89261,SALVIA Cleanser DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),150ml,11.2969,1.6701,19
Drogerie Kosmetik Nonfood,89262,GINSENG Cleanser DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),150ml,14.1886,2.0976,19
Drogerie Kosmetik Nonfood,89265,SHEABUTTER Cleanser DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),150ml,11.7853,1.7423,19
Drogerie Kosmetik Nonfood,89270,ROSE Tonic DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,10.4872,1.5504,19
Drogerie Kosmetik Nonfood,89271,SALVIA Tonic DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,7.8911,1.1666,19
Drogerie Kosmetik Nonfood,89273,GINSENG Tonic DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,11.0527,1.634,19
Drogerie Kosmetik Nonfood,89276,SHEABUTTER Tonic DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,8.8679,1.311,19
Drogerie Kosmetik Nonfood,89280,ROSE Face Lotion DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,18.2884,2.7037,19
Drogerie Kosmetik Nonfood,89281,SALVIA Face Lotion DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,13.2504,1.9589,19
